"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Ontology"
"GO:0006909","phagocytosis","9/272","236/28832",0.038135593220339,4.04237288135593,4.57984734174643,0.000433337899383876,0.00658862014845832,0.00470622807889216,"C3/Cd36/Coro1c/Dnm2/Hmgb1/Mfge8/Ptk2/Sod1/Thbs1",9,"BP"
"GO:0071404","cellular response to low-density lipoprotein particle stimulus","4/272","38/28832",0.105263157894737,11.1578947368421,6.11476413616645,0.000444313733299112,0.00666851985127466,0.00476330015413957,"Akt1/Cd36/Cd9/Ces1c",4,"BP"
"GO:1901889","negative regulation of cell junction assembly","4/272","38/28832",0.105263157894737,11.1578947368421,6.11476413616645,0.000444313733299112,0.00666851985127466,0.00476330015413957,"Apod/Coro1c/Ptk2/Rock1",4,"BP"
"GO:1904385","cellular response to angiotensin","4/272","38/28832",0.105263157894737,11.1578947368421,6.11476413616645,0.000444313733299112,0.00666851985127466,0.00476330015413957,"Camk2a/Cav1/Prkcd/Rock1",4,"BP"
"GO:0001938","positive regulation of endothelial cell proliferation","6/272","104/28832",0.0576923076923077,6.11538461538462,5.1000856555755,0.000467498102592198,0.00689806272052708,0.00492726181412963,"Akt1/Akt3/Cav1/Ecm1/Hmgb1/Nras",6,"BP"
"GO:0006754","ATP biosynthetic process","6/272","104/28832",0.0576923076923077,6.11538461538462,5.1000856555755,0.000467498102592198,0.00689806272052708,0.00492726181412963,"Aldoa/Ndufab1/Ndufb1/Ndufb4/Ndufb6/Ndufb7",6,"BP"
"GO:0032370","positive regulation of lipid transport","6/272","104/28832",0.0576923076923077,6.11538461538462,5.1000856555755,0.000467498102592198,0.00689806272052708,0.00492726181412963,"Abca8a/Cav1/Ces1c/Lpcat3/Nucb2/Prkcd",6,"BP"
"GO:0070252","actin-mediated cell contraction","6/272","104/28832",0.0576923076923077,6.11538461538462,5.1000856555755,0.000467498102592198,0.00689806272052708,0.00492726181412963,"Atp2a1/Cav1/Emp2/Rock1/Sri/Tpm1",6,"BP"
"GO:0055094","response to lipoprotein particle","4/272","39/28832",0.102564102564103,10.8717948717949,6.02032824566511,0.000491446949314555,0.00722096630988655,0.0051579107064283,"Akt1/Cd36/Cd9/Ces1c",4,"BP"
"GO:0001954","positive regulation of cell-matrix adhesion","5/272","69/28832",0.072463768115942,7.68115942028985,5.42243672517271,0.000494623555303522,0.00723723252257915,0.00516952960464769,"Cd36/Cfl1/Efemp2/Emp2/Rock1",5,"BP"
"GO:0016042","lipid catabolic process","11/272","347/28832",0.031700288184438,3.36023054755043,4.31664422621856,0.000498104135711616,0.00725779234409801,0.00518421541247222,"Acaa1a/Akt1/Akt2/Apoh/Ces1c/Gla/Hexa/Hsd17b10/Ppt1/Prkcd/Smpd2",11,"BP"
"GO:0043542","endothelial cell migration","9/272","241/28832",0.037344398340249,3.95850622406639,4.50092254455791,0.000504138048043867,0.00729767300591447,0.00521270202821518,"Akt1/Akt3/Apoh/Emp2/Fstl1/Hmgb1/Ptk2/Rhoj/Thbs1",9,"BP"
"GO:0033002","muscle cell proliferation","10/272","293/28832",0.0341296928327645,3.61774744027304,4.39518724314695,0.000505014831979212,0.00729767300591447,0.00521270202821518,"Abcc4/Akt1/Apod/Cav1/Efemp2/Gna13/Ptgis/Ptk2/Thbs1/Tpm1",10,"BP"
"GO:0019377","glycolipid catabolic process","3/272","17/28832",0.176470588235294,18.7058823529412,7.12636276955024,0.000511984158586071,0.00736793663611312,0.00526289109085876,"Gla/Hexa/Prkcd",3,"BP"
"GO:0032890","regulation of organic acid transport","6/272","106/28832",0.0566037735849057,6,5.03292620257882,0.000517421453468142,0.0074133287845235,0.00529531454199066,"Akt1/Akt2/Arl6ip1/Ces1c/Dpysl2/Thbs1",6,"BP"
"GO:0051235","maintenance of location","9/272","242/28832",0.0371900826446281,3.94214876033058,4.4853923342226,0.000519378196227697,0.0074133287845235,0.00529531454199066,"Akt1/Atp2a1/Cav1/Fbn1/Gaa/Ghitm/Hexa/Sri/Sun1",9,"BP"
"GO:0042311","vasodilation","5/272","70/28832",0.0714285714285714,7.57142857142857,5.37198107746649,0.000528614012312593,0.00751448455714283,0.00536756975275046,"Calca/Gucy1a1/Kng2/Ptk2/Sod1",5,"BP"
"GO:0008380","RNA splicing","13/272","466/28832",0.0278969957081545,2.95708154506438,4.15659809487904,0.000531637531947643,0.00752686821546926,0.00537641535611232,"Akt2/Alyref/C1qbp/Exosc10/Fus/Hnrnpf/Lgals3/Lsm8/Rbm17/Rps26/Sf3a3/Snrpd2/Usp4",13,"BP"
"GO:0015718","monocarboxylic acid transport","8/272","194/28832",0.0412371134020619,4.37113402061856,4.59770121074615,0.000538125063346984,0.00755174596203139,0.00539418544252984,"Abcc4/Akt1/Akt2/Cd36/Ces1c/Fabp4/Mpc2/Thbs1",8,"BP"
"GO:2001242","regulation of intrinsic apoptotic signaling pathway","8/272","194/28832",0.0412371134020619,4.37113402061856,4.59770121074615,0.000538125063346984,0.00755174596203139,0.00539418544252984,"Akt1/Cav1/Ei24/Mtch2/Ptpmt1/Rps7/Serinc3/Sod1",8,"BP"
"GO:0019934","cGMP-mediated signaling","4/272","40/28832",0.1,10.6,5.92926028233986,0.000542032666991673,0.00755174596203139,0.00539418544252984,"Cd36/Gucy1a1/Gucy1b1/Thbs1",4,"BP"
"GO:0051693","actin filament capping","4/272","40/28832",0.1,10.6,5.92926028233986,0.000542032666991673,0.00755174596203139,0.00539418544252984,"Capza1/Capza2/Cfl1/Tpm1",4,"BP"
"GO:0043588","skin development","11/272","352/28832",0.03125,3.3125,4.26008519293414,0.000560807306183101,0.00778231408619961,0.00555887943848161,"Akt1/Krt14/Krt17/Krt6a/Krt76/Krt78/Krt79/Nme2/Palld/Ptges3/Rock1",11,"BP"
