Accession,Protein Name,Description,Gene Name,XIC S03,XIC S03bis,XIC S04,XIC S05,XIC S06,XIC S06bis,XIC S07,XIC S07bis,XIC S08,XIC S09,XIC S10,XIC S11,XIC S11bis,XIC S12,XIC S12bis,XIC S13,XIC S14,XIC S15
Q9ES56,TPPC4_MOUSE,Trafficking protein particle complex subunit 4 OS=Mus musculus OX=10090 ,Trappc4,5055680,6351360,3951800,7817710,5638060,6404610,4007850,7405030,9190570,5006210,7721620,4861250,7080810,7693960,8236780,10147700,4439500,9205210
Q9CQA1,TPPC5_MOUSE,Trafficking protein particle complex subunit 5 OS=Mus musculus OX=10090 ,Trappc5,,2447100,1005240,2329260,1392440,1627940,1270720,2111260,,1879340,2182490,1539580,1295050,2171890,1863850,1819600,2227400,1995150
Q9D289,TPC6B_MOUSE,Trafficking protein particle complex subunit 6B OS=Mus musculus OX=10090 ,Trappc6b,,1139350,,1911650,1154910,1310100,2088080,1867570,1524950,,2150510,1952280,2379160,1706060,2181470,,1637390,2489360
A0A286YCX6,A0A286YCX6_MOUSE,Trafficking protein particle complex 8 OS=Mus musculus OX=10090 ,Trappc8,482807,628342,,311188,759601,295471,256186,555354,801154,236624,778329,410879,740916,494424,425586,542831,,383844
Q3U0M1,TPPC9_MOUSE,Trafficking protein particle complex subunit 9 OS=Mus musculus OX=10090 ,Trappc9,904044,2245210,1486980,311999,1108320,322331,1327110,586455,598259,1074560,528083,586001,240253,2592810,1259070,224666,349532,724310
Q99PP9,TRI16_MOUSE,Tripartite motif-containing protein 16 OS=Mus musculus OX=10090 ,Trim16,2038300,1927060,2232410,1574860,1351170,1845180,1945060,1756220,2328660,2106700,1982410,1451740,2406790,1350670,1703870,1980930,1551980,2219580
Q9ESN6,TRIM2_MOUSE,Tripartite motif-containing protein 2 OS=Mus musculus OX=10090 ,Trim2,7199450,9855510,9929570,8546280,9710610,9986030,8538250,7841010,8828460,5080720,10140500,8842460,10526200,10544500,8817670,9233060,8199420,9975140
Q61510,TRI25_MOUSE,E3 ubiquitin/ISG15 ligase TRIM25 OS=Mus musculus OX=10090 ,Trim25,1765780,2355040,2317120,2085780,1948590,1820280,2115800,2591870,1774320,1994820,1994260,1775220,2145290,2249560,2057460,1757990,,1803180
Q62318,TIF1B_MOUSE,Transcription intermediary factor 1-beta OS=Mus musculus OX=10090 ,Trim28,3788270,3791920,4089770,3725410,4142020,4598360,5615160,5710650,4585990,4450790,2872620,4142230,5590060,4163270,1310510,4204570,6449170,2910670
Q9R1R2,TRIM3_MOUSE,Tripartite motif-containing protein 3 OS=Mus musculus OX=10090 ,Trim3,5908670,7115110,4777760,6159920,5852580,6284700,5974880,6107220,6100850,6577250,6901150,5903180,6650420,6551720,6968930,6901300,8129500,6921630
Q80WG7,TRI36_MOUSE,E3 ubiquitin-protein ligase Trim36 OS=Mus musculus OX=10090 ,Trim36,813960,812683,576516,788115,1079470,1381010,1058030,884432,663989,1056440,947071,1211130,1394800,1017240,1096690,1085400,,1388920
Q8C0E3,TRI47_MOUSE,E3 ubiquitin-protein ligase TRIM47 OS=Mus musculus OX=10090 ,Trim47,,785231,915763,686656,689322,409213,,,,,728671,437258,1140400,829267,900364,,,
Q1XH17,TRI72_MOUSE,Tripartite motif-containing protein 72 OS=Mus musculus OX=10090 ,Trim72,,,,,,,13552700,7297040,,,,,,,,,,
Q0KL02,TRIO_MOUSE,Triple functional domain protein OS=Mus musculus OX=10090 ,Trio,,,,1051790,913890,1068110,724643,939708,,,998651,939787,821413,885623,810117,,1148400,776631
Q99KW3,TARA_MOUSE,TRIO and F-actin-binding protein OS=Mus musculus OX=10090 ,Triobp,1048360,,2742190,,2306330,,1687060,1190370,2771550,,708950,1925170,1868260,1257120,1511080,,1173170,787097
Q8CJ53,CIP4_MOUSE,Cdc42-interacting protein 4 OS=Mus musculus OX=10090 ,Trip10,4389840,3895140,3193700,3835180,4051090,3666340,4476440,3074070,3751470,3462510,3469480,4015590,2740670,4703250,3701990,3153090,3872570,3565280
Q9QXN3,TRIP4_MOUSE,Activating signal cointegrator 1 OS=Mus musculus OX=10090 ,Trip4,190200,,,135733,,99715,159141,,199006,161697,155793,104346,,164770,,184581,262534,150906
Q9Z1Y4,TRIP6_MOUSE,Thyroid receptor-interacting protein 6 OS=Mus musculus OX=10090 ,Trip6,,1976020,,2384620,1876700,2767450,1634760,2003920,1799320,,2081630,1521580,1692590,1815620,1624690,2264060,2476500,1423430
Q3UFY8,TM10C_MOUSE,tRNA methyltransferase 10 homolog C OS=Mus musculus OX=10090 ,Trmt10c,308286,202333,,250993,,,243588,403234,,,,,,356611,213236,,201015,140248
Q9DCG9,TR112_MOUSE,Multifunctional methyltransferase subunit TRM112-like protein OS=Mus musculus OX=10090 ,Trmt112,,2392820,,3244300,,3302510,,2725200,5065070,1230410,4624840,,3748540,,,4179510,10294800,2652930
Q8K1J6,TRNT1_MOUSE,"CCA tRNA nucleotidyltransferase 1, mitochondrial OS=Mus musculus OX=10090 ",Trnt1,,846737,,969033,698013,816040,610029,774357,1040100,,820664,511980,730805,615666,1160400,864899,,750602
Q704Y3,TRPV1_MOUSE,Transient receptor potential cation channel subfamily V member 1 OS=Mus musculus OX=10090 ,Trpv1,,226805,,374477,,,,,,713877,2054540,,774692,,483670,240820,446005,391758
Q9WTR1,TRPV2_MOUSE,Transient receptor potential cation channel subfamily V member 2 OS=Mus musculus OX=10090 ,Trpv2,441002,1094880,991923,747737,972780,1015040,727804,951971,1107750,654890,1229120,923796,998369,841424,880056,957373,1315640,815406
Q792Z1,Q792Z1_MOUSE,trypsin OS=Mus musculus OX=10090 ,Try10,23741700,11278500,34532500,28997200,32406400,28601800,32054800,29813700,32784900,23230500,22026900,33488100,33428700,19306700,25310200,35566500,36697800,18459300
Q9EP53,TSC1_MOUSE,Hamartin OS=Mus musculus OX=10090 ,Tsc1,,,407195,,,,,183361,,385893,269093,221795,,271255,,220453,,171392
Q61037,TSC2_MOUSE,Tuberin OS=Mus musculus OX=10090 ,Tsc2,1595130,591745,439660,492311,1092350,775976,559780,518142,1594570,605858,1258670,1139020,758178,906681,517983,293077,1285380,2319170
P62500,T22D1_MOUSE,TSC22 domain family protein 1 OS=Mus musculus OX=10090 ,Tsc22d1,9417020,9702170,10672300,10331200,8599770,10299100,9221840,8850870,14713400,15121300,9720320,9333480,10530200,9051010,8391120,8627350,8905620,10009000
E9Q7M2,T22D2_MOUSE,TSC22 domain family protein 2 OS=Mus musculus OX=10090 ,Tsc22d2,1915530,1357500,1984180,1212410,1124960,1238830,1829470,1103670,,1488930,1233770,1240560,619455,1233320,1404400,,1502840,1315010
Q9Z2S7,T22D3_MOUSE,TSC22 domain family protein 3 OS=Mus musculus OX=10090 ,Tsc22d3,1395490,516423,5834690,1162960,,,1485920,,,1911820,728739,971594,,,,,,2517060
Q9EQN3,T22D4_MOUSE,TSC22 domain family protein 4 OS=Mus musculus OX=10090 ,Tsc22d4,2679170,1797840,2368500,1609780,2595030,2078290,2762200,2241890,2121260,1367260,2824930,2759160,2518400,2158910,1822200,1459450,2840570,2368240
Q8BMZ5,SEN34_MOUSE,tRNA-splicing endonuclease subunit Sen34 OS=Mus musculus OX=10090 ,Tsen34,,,,192786,,,295468,48238,,,138608,,,,143540,,,
Q9CZR8,EFTS_MOUSE,"Elongation factor Ts, mitochondrial OS=Mus musculus OX=10090 ",Tsfm,,,,579220,780729,,1326430,1137410,,,,567608,822897,801098,,,499039,
Q61187,TS101_MOUSE,Tumor susceptibility gene 101 protein OS=Mus musculus OX=10090 ,Tsg101,7851620,10480800,8984380,8515960,9440190,10608500,11507000,9469360,11559700,10053400,9859700,9418010,10454800,10510800,8741970,10693200,9493380,10478700
Q62348,TSN_MOUSE,Translin OS=Mus musculus OX=10090 ,Tsn,11613400,14429500,19085700,13851000,15194800,15659500,15393200,13895700,22802400,17058600,15840700,13693500,15253800,16815200,14681200,20986200,13398400,15920700
Q9QZE7,TSNAX_MOUSE,Translin-associated protein X OS=Mus musculus OX=10090 ,Tsnax,3585070,4144720,3814040,3980130,,3208520,6145520,3196210,5063880,2966120,,2586180,,2756770,1675930,3020050,2697970,4652280
F7BWT7,TSN15_MOUSE,Tetraspanin-15 OS=Mus musculus OX=10090 ,Tspan15,6750090,23920500,23951800,19890800,24507600,25094700,28504100,38006500,16731600,19386400,23164900,23983900,23337100,20194100,21925500,14420100,20532400,21347100
Q8R3G9,TSN8_MOUSE,Tetraspanin-8 OS=Mus musculus OX=10090 ,Tspan8,3378350,3002520,2684360,,3301540,,3496480,,3413730,2655630,,,,,,2464830,,
P50637,TSPO_MOUSE,Translocator protein OS=Mus musculus OX=10090 ,Tspo,,,,,,3552260,2469220,,963438,,3431540,6009240,,5800260,,,4202840,
Q8C8T8,TSR2_MOUSE,Pre-rRNA-processing protein TSR2 homolog OS=Mus musculus OX=10090 ,Tsr2,1998820,3444050,2872730,2610460,2663030,2205890,,2152910,3384560,2670570,2583200,2793070,2920760,3453680,3009440,3101350,2232530,2255940
P52196,THTR_MOUSE,Thiosulfate sulfurtransferase OS=Mus musculus OX=10090 ,Tst,4007170,11011000,,6344900,6417270,5255310,15014400,16822800,4909950,4887960,6676360,10579900,12390300,15435600,16099300,3866830,14044000,5428210
Q6PCN3,TTBK1_MOUSE,Tau-tubulin kinase 1 OS=Mus musculus OX=10090 ,Ttbk1,712894,856636,636971,689627,,388343,,,737005,898401,1064410,794979,611875,,,424819,814541,616656
Q91Z38,TTC1_MOUSE,Tetratricopeptide repeat protein 1 OS=Mus musculus OX=10090 ,Ttc1,7243400,7091200,3489740,6520630,8810900,6601250,8115140,7311870,6743820,3369010,8430890,7984010,6127850,8053610,6148470,8486360,6185310,6542520
Q8CC21,TTC19_MOUSE,"Tetratricopeptide repeat protein 19, mitochondrial OS=Mus musculus OX=10090 ",Ttc19,574124,,,681413,,,481719,215365,,,,,,,,,,
A6H6E9,TT23L_MOUSE,Tetratricopeptide repeat protein 23-like OS=Mus musculus OX=10090 ,Ttc23l,,,,511559,,1202380,,1156310,1126860,,1247680,,1450590,,1165310,1024880,685587,1069500
A3KMP2,TTC38_MOUSE,Tetratricopeptide repeat protein 38 OS=Mus musculus OX=10090 ,Ttc38,2109800,2058410,2798600,2588090,2031580,2339840,2427250,2129690,1776500,2854000,2372230,1945070,2275020,2206930,2344350,1856570,2733220,2138280
Q8BYY4,TT39B_MOUSE,Tetratricopeptide repeat protein 39B OS=Mus musculus OX=10090 ,Ttc39b,,815664,,838327,795138,886981,,882139,968301,,969600,,820347,,700970,1273010,541194,976169
Q8VE09,TT39C_MOUSE,Tetratricopeptide repeat protein 39C OS=Mus musculus OX=10090 ,Ttc39c,1703340,1408330,1557640,1376840,1378840,,,1059260,1267270,1538640,763365,1239170,,1489700,1844960,1530200,964089,1469590
Q8R3H9,TTC4_MOUSE,Tetratricopeptide repeat protein 4 OS=Mus musculus OX=10090 ,Ttc4,736550,597603,,1050180,,715907,1020580,853429,504769,,620024,,,,479077,1186840,508487,623465
E9Q6P5,TTC7B_MOUSE,Tetratricopeptide repeat protein 7B OS=Mus musculus OX=10090 ,Ttc7b,405178,245648,,751597,,597407,,,,281165,482087,438885,,740409,462961,,,731394
Q3V038,TTC9A_MOUSE,Tetratricopeptide repeat protein 9A OS=Mus musculus OX=10090 ,Ttc9,9479240,8324150,9279620,10473800,10903800,11943900,11106800,9265720,10525100,9877980,10949300,11378000,9944480,10268300,9960990,12629700,9892890,10295300
Q810A3,TTC9C_MOUSE,Tetratricopeptide repeat protein 9C OS=Mus musculus OX=10090 ,Ttc9c,,1577100,,745314,1118240,978435,,1090190,2093330,,1236000,1567540,1960820,,1209940,2416800,,1046350
P38585,TTL_MOUSE,Tubulin--tyrosine ligase OS=Mus musculus OX=10090 ,Ttl,9216820,10102700,4374620,11675900,13018300,13296200,11987100,13733600,5739700,7502290,11677900,11156800,11910700,11116000,11928900,9632010,11335900,13894700
Q3UDE2,TTL12_MOUSE,Tubulin--tyrosine ligase-like protein 12 OS=Mus musculus OX=10090 ,Ttll12,17940600,9523990,6475540,9363180,8274420,7949000,9879240,10896000,7443050,6088780,8146290,8428210,8887600,8708540,9414450,8436650,8599480,9710090
A2ASS6,TITIN_MOUSE,Titin OS=Mus musculus OX=10090 ,Ttn,,,,,,,92166100,97545600,,,,,,5029810,,6711030,,
P07309,TTHY_MOUSE,Transthyretin OS=Mus musculus OX=10090 ,Ttr,169476000,104790000,204595000,110036000,83386800,79184800,86130800,77755100,181070000,214408000,90332200,78732600,88032400,92894300,79858200,203951000,77395200,126988000
P68368,TBA4A_MOUSE,Tubulin alpha-4A chain OS=Mus musculus OX=10090 ,Tuba4a,310205000,253632000,315613000,174406000,261273000,314983000,254170000,267412000,268351000,296900000,288540000,267010000,245647000,250956000,224284000,311476000,279502000,281962000
Q9JJZ2,TBA8_MOUSE,Tubulin alpha-8 chain OS=Mus musculus OX=10090 ,Tuba8,3673700,846603,2331220,,1459800,1952210,6276510,4407210,1831280,2281750,1323810,2038300,2042910,1620070,1577530,2560500,1634020,1080920
Q7TMM9,TBB2A_MOUSE,Tubulin beta-2A chain OS=Mus musculus OX=10090 ,Tubb2a,477838000,465210000,401863000,514569000,627392000,524660000,436951000,530059000,570776000,416859000,524834000,473148000,526882000,547590000,500725000,486319000,364980000,538767000
Q9CWF2,TBB2B_MOUSE,Tubulin beta-2B chain OS=Mus musculus OX=10090 ,Tubb2b,167333000,163071000,161276000,189822000,187741000,202719000,180542000,185057000,187939000,165562000,173944000,162547000,178143000,144896000,182567000,195012000,196076000,156431000
Q9ERD7,TBB3_MOUSE,Tubulin beta-3 chain OS=Mus musculus OX=10090 ,Tubb3,373983000,421901000,435082000,332490000,351925000,387120000,371920000,304600000,406964000,375492000,341162000,305074000,317194000,367033000,313573000,558948000,342432000,382345000
Q9D6F9,TBB4A_MOUSE,Tubulin beta-4A chain OS=Mus musculus OX=10090 ,Tubb4a,61012500,62602200,55402800,46171600,87319200,73763600,64800600,49625500,63801300,49515100,56071300,77520400,59027200,67316400,56503400,64921700,49863400,66686700
P68372,TBB4B_MOUSE,Tubulin beta-4B chain OS=Mus musculus OX=10090 ,Tubb4b,757945000,713741000,656335000,795276000,845171000,806959000,598963000,734841000,791004000,679972000,815236000,761553000,766584000,730920000,737633000,759198000,735701000,636016000
P99024,TBB5_MOUSE,Tubulin beta-5 chain OS=Mus musculus OX=10090 ,Tubb5,823979000,538689000,742514000,904706000,955895000,982028000,895421000,857117000,632885000,516076000,878960000,918540000,916657000,882122000,928204000,623000000,841220000,944195000
Q922F4,TBB6_MOUSE,Tubulin beta-6 chain OS=Mus musculus OX=10090 ,Tubb6,7115010,,9814550,,,,,,,2918860,,,,,,,,
Q921G8,GCP2_MOUSE,Gamma-tubulin complex component 2 OS=Mus musculus OX=10090 ,Tubgcp2,,,,1903090,1031940,1998420,,,,,1330970,1250080,,1156500,928038,,773598,1038000
P58854,GCP3_MOUSE,Gamma-tubulin complex component 3 OS=Mus musculus OX=10090 ,Tubgcp3,,,,,13902500,,,5908780,,,,13127000,,5931620,,,,
Q9D4F8,GCP4_MOUSE,Gamma-tubulin complex component 4 OS=Mus musculus OX=10090 ,Tubgcp4,,656878,,649482,542873,443890,,,,,595076,327092,,,,,,969598
Q8BFR5,EFTU_MOUSE,"Elongation factor Tu, mitochondrial OS=Mus musculus OX=10090 ",Tufm,25089400,25940300,26324700,23268300,28727900,25063200,37239900,41329000,24239300,24067400,22803900,30759800,24815200,30701200,26524500,26078200,26786800,19365600
O88413,TULP3_MOUSE,Tubby-related protein 3 OS=Mus musculus OX=10090 ,Tulp3,,332830,749600,,,,1190060,567228,612428,664445,615105,,,,488817,604460,534552,769173
Q91YR1,TWF1_MOUSE,Twinfilin-1 OS=Mus musculus OX=10090 ,Twf1,3115480,5888110,7924120,4657340,6710250,3833660,5680580,7566550,3524610,,5334370,6069330,7859870,7410760,6941760,3747510,4270380,8771440
Q9Z0P5,TWF2_MOUSE,Twinfilin-2 OS=Mus musculus OX=10090 ,Twf2,7074920,5190310,2393300,4770430,5708290,5499910,6377520,5922410,5812920,4622180,5883970,5117570,6145970,5757770,5723830,2884940,5693190,5638470
Q6PAM1,TXLNA_MOUSE,Alpha-taxilin OS=Mus musculus OX=10090 ,Txlna,,946415,770572,537778,,599911,,1271590,,,1024100,,677068,,1075170,752311,910137,
P10639,THIO_MOUSE,Thioredoxin OS=Mus musculus OX=10090 ,Txn,333961000,309637000,452490000,353398000,253523000,267503000,341218000,341915000,537318000,548100000,280550000,258623000,233856000,271156000,264500000,573905000,342519000,295676000
P97493,THIOM_MOUSE,"Thioredoxin, mitochondrial OS=Mus musculus OX=10090 ",Txn2,,4151580,,4208000,,5213450,6904200,5780750,6843450,11266000,4325270,3891970,3851980,3756150,4202160,8439800,3283210,4165380
Q9CQU0,TXD12_MOUSE,Thioredoxin domain-containing protein 12 OS=Mus musculus OX=10090 ,Txndc12,10125100,6630520,11180500,7904800,5808260,6626880,5829780,8313400,6936520,12067600,7510040,7030600,7542860,6028860,7536570,6050840,8639600,7389920
Q9CQM5,TXD17_MOUSE,Thioredoxin domain-containing protein 17 OS=Mus musculus OX=10090 ,Txndc17,17878300,25718600,27631300,31993600,24495400,27789700,30581000,32530000,36746500,28496900,32502100,34907400,28267100,28789800,30641400,46191900,30099900,30451700
Q91W90,TXND5_MOUSE,Thioredoxin domain-containing protein 5 OS=Mus musculus OX=10090 ,Txndc5,7640170,13037700,10878800,12450900,12756300,11022000,12129300,12122000,10859300,12322300,10903500,13006600,12877400,13068200,13575400,11874200,12460200,12639400
Q9CQ79,TXND9_MOUSE,Thioredoxin domain-containing protein 9 OS=Mus musculus OX=10090 ,Txndc9,,2770940,,2372000,1957460,2421510,2032360,2458780,2845610,,2597280,1953230,2277250,1969410,2536810,1642970,2353520,2273590
Q8BG60,TXNIP_MOUSE,Thioredoxin-interacting protein OS=Mus musculus OX=10090 ,Txnip,,,,645740,566924,,375544,811201,,,387872,,,652034,654311,,392689,
Q8CDN6,TXNL1_MOUSE,Thioredoxin-like protein 1 OS=Mus musculus OX=10090 ,Txnl1,34577900,36112200,21360900,31482100,33650500,40440000,41648100,36658400,30454700,21826100,30458000,29200600,30062800,34765200,32923200,36012700,36416100,35434400
Q9JMH6,TRXR1_MOUSE,"Thioredoxin reductase 1, cytoplasmic OS=Mus musculus OX=10090 ",Txnrd1,21331700,26985600,13546200,24136000,30277700,23855700,25741500,26373700,25541000,15928000,21417700,23984800,24048500,30720900,24372000,27221700,22236900,21929400
Q9JLT4,TRXR2_MOUSE,"Thioredoxin reductase 2, mitochondrial OS=Mus musculus OX=10090 ",Txnrd2,,,,,2845400,1206320,1353300,1164840,,,,2299150,1286680,1650440,,,,
Q99MD6,TRXR3_MOUSE,Thioredoxin reductase 3 OS=Mus musculus OX=10090 ,Txnrd3,,288368,,118324,,601199,690509,354891,,,498232,,230238,253808,352458,105580,496745,109144
A2RSX7,TYW5_MOUSE,tRNA wybutosine-synthesizing protein 5 OS=Mus musculus OX=10090 ,Tyw5,,428128,,568119,,546532,,,,,312233,,,426253,,,,430180
P26369,U2AF2_MOUSE,Splicing factor U2AF 65 kDa subunit OS=Mus musculus OX=10090 ,U2af2,1813480,4386870,5148770,3021940,5046430,4188920,5028330,4670130,4806720,,2774360,4741000,3969130,4694810,5726100,4177460,3740820,3674470
Q8CGB3,UACA_MOUSE,Uveal autoantigen with coiled-coil domains and ankyrin repeats OS=Mus musculus OX=10090 ,Uaca,3089700,3029150,2754050,3088900,3207600,3266890,2737070,3003470,3162100,3405720,2752170,2849380,3404920,2739280,2602530,2728630,3136140,2753620
Q91YN5,UAP1_MOUSE,UDP-N-acetylhexosamine pyrophosphorylase OS=Mus musculus OX=10090 ,Uap1,2605050,4216490,3799700,4909510,6330300,5099770,4129530,5202380,13494600,4573730,4571390,4852910,4343090,3658040,4330870,5162570,4265160,3773730
Q3TW96,UAP1L_MOUSE,UDP-N-acetylhexosamine pyrophosphorylase-like protein 1 OS=Mus musculus OX=10090 ,Uap1l1,10751000,9423700,8568100,12526200,11162300,11637900,10965800,10728600,12212400,10696100,10535000,10276500,10942600,10722800,11014900,11587400,12280400,11259500
Q02053,UBA1_MOUSE,Ubiquitin-like modifier-activating enzyme 1 OS=Mus musculus OX=10090 ,Uba1,34098900,29386300,40606600,33627800,38405700,41888500,41267400,36020900,34078700,34208200,35651800,38275500,35044500,39775800,37406400,29792600,40472400,36473300
Q9Z1F9,SAE2_MOUSE,SUMO-activating enzyme subunit 2 OS=Mus musculus OX=10090 ,Uba2,3414470,3725600,4966260,3314970,3033280,2897770,2582490,2848540,3062970,4714820,3568430,3169900,4028800,2603470,3239050,3791090,3381490,3309470
Q8C878,UBA3_MOUSE,NEDD8-activating enzyme E1 catalytic subunit OS=Mus musculus OX=10090 ,Uba3,5586510,8564760,6977650,8264910,8193900,8129080,8663220,8426230,8466600,7960310,7795170,7370940,8280560,7349300,8485170,8322730,9249800,8839550
Q8VE47,UBA5_MOUSE,Ubiquitin-like modifier-activating enzyme 5 OS=Mus musculus OX=10090 ,Uba5,5171020,5736060,5969960,6394690,6093370,6975510,6650390,6923720,5291160,6598390,6524080,5463350,6647370,4599300,6995090,4813650,6997290,6502560
Q8C7R4,UBA6_MOUSE,Ubiquitin-like modifier-activating enzyme 6 OS=Mus musculus OX=10090 ,Uba6,4951040,5824500,6062980,4824560,5009030,5809780,5273450,5172460,4700540,4214850,5615100,6144430,5638900,6158730,7035030,4021400,5189240,6378200
Q9DBK7,UBA7_MOUSE,Ubiquitin-like modifier-activating enzyme 7 OS=Mus musculus OX=10090 ,Uba7,,372072,428362,,,526956,,431850,441290,,576511,,522300,,642183,378475,667437,
Q8VDI7,UBAC1_MOUSE,Ubiquitin-associated domain-containing protein 1 OS=Mus musculus OX=10090 ,Ubac1,,,,,,,1608340,1888220,,,,643728,,1234230,,,,1298160
Q8R1K1,UBAC2_MOUSE,Ubiquitin-associated domain-containing protein 2 OS=Mus musculus OX=10090 ,Ubac2,1065710,756668,1545390,900061,768976,900076,,991528,384484,1139750,972215,443455,859981,1136900,1006020,1167440,1158730,741022
Q80X50,UBP2L_MOUSE,Ubiquitin-associated protein 2-like OS=Mus musculus OX=10090 ,Ubap2l,549231,766811,1776810,1542490,925975,1112780,1190130,1242010,615485,971561,1026740,1502710,1097840,884513,1528250,1007130,1842560,995919
Q8BGG7,UBS3B_MOUSE,Ubiquitin-associated and SH3 domain-containing protein B OS=Mus musculus OX=10090 ,Ubash3b,16473800,5074940,4023160,4159450,3058460,4457280,5905170,5229090,4223050,4228050,3985340,2744580,4735650,4044000,4440510,4827000,5161180,5088440
Q9Z255,UBE2A_MOUSE,Ubiquitin-conjugating enzyme E2 A OS=Mus musculus OX=10090 ,Ube2a,1084480,1147060,,,,,,49986,,574415,,,999329,571432,433728,,,373064
P61080,UB2D1_MOUSE,Ubiquitin-conjugating enzyme E2 D1 OS=Mus musculus OX=10090 ,Ube2d1,4100590,2794140,,,1822680,,3137480,4974920,2975510,3172420,4462460,1531170,,2752190,4055260,,4763560,5177040
Q9CY34,UB2FA_MOUSE,NEDD8-conjugating enzyme UBE2F OS=Mus musculus OX=10090 ,Ube2f,,836713,,622012,666656,834745,,,,323510,,1340720,,,,1045460,778222,
P62257,UBE2H_MOUSE,Ubiquitin-conjugating enzyme E2 H OS=Mus musculus OX=10090 ,Ube2h,965793,3325340,,3461090,4072150,3324580,3721350,2679630,2824370,,2380140,3573650,2723290,4207890,3737680,3242910,3448040,4189050
P63280,UBC9_MOUSE,SUMO-conjugating enzyme UBC9 OS=Mus musculus OX=10090 ,Ube2i,3391800,7344020,4585400,9857300,4570250,8204990,5781440,6518020,6713090,,7301030,7688610,8725440,7784160,8414130,7666490,8180820,7155670
Q9JJZ4,UB2J1_MOUSE,Ubiquitin-conjugating enzyme E2 J1 OS=Mus musculus OX=10090 ,Ube2j1,1011750,1364850,1069080,1213560,1052760,937519,1096890,758677,983920,1269340,880471,743000,1158710,1080250,1190710,1175690,1184720,787615
P61087,UBE2K_MOUSE,Ubiquitin-conjugating enzyme E2 K OS=Mus musculus OX=10090 ,Ube2k,29246000,33079100,33784100,29917900,30757800,31201500,27418100,36717800,30687700,32560600,31924000,28248000,29642500,27384400,32244200,32682900,30381800,28209100
P68037,UB2L3_MOUSE,Ubiquitin-conjugating enzyme E2 L3 OS=Mus musculus OX=10090 ,Ube2l3,21014700,14638800,17799500,33140100,21976700,30642300,24356400,38822400,17369800,22017400,30846700,23439700,25655800,23043900,23597800,23430200,31781500,28214200
P61082,UBC12_MOUSE,NEDD8-conjugating enzyme Ubc12 OS=Mus musculus OX=10090 ,Ube2m,20330400,19108000,14975200,23395700,22222900,22231700,24994900,26642600,20322200,18872300,28292700,21961100,27962600,20418300,22236300,22333300,26312600,24083500
P61089,UBE2N_MOUSE,Ubiquitin-conjugating enzyme E2 N OS=Mus musculus OX=10090 ,Ube2n,63818900,67649100,70352100,74957400,71910000,70165600,60086500,66390400,69494400,66662600,63074600,59419700,52205300,70478300,79395800,68309700,72382200,67811200
Q6ZPJ3,UBE2O_MOUSE,(E3-independent) E2 ubiquitin-conjugating enzyme UBE2O OS=Mus musculus OX=10090 ,Ube2o,8454030,11111100,7563810,8909280,9175200,8818470,9107760,10672400,9040200,6803900,11621700,9863590,10672000,8390660,8939310,9431600,8066890,11270200
Q7TSS2,UB2Q1_MOUSE,Ubiquitin-conjugating enzyme E2 Q1 OS=Mus musculus OX=10090 ,Ube2q1,,,,794944,,,,,,,656125,,,,,,,
Q6ZWZ2,UB2R2_MOUSE,Ubiquitin-conjugating enzyme E2 R2 OS=Mus musculus OX=10090 ,Ube2r2,7514310,7828010,6433230,7102860,7022860,7699470,7461430,8899190,7540810,6635180,8273380,7142820,7570900,6477960,6984410,8670310,6761200,8041890
Q9CZY3,UB2V1_MOUSE,Ubiquitin-conjugating enzyme E2 variant 1 OS=Mus musculus OX=10090 ,Ube2v1,7606970,,,,,,,,,,,,,,,,,
Q9D2M8,UB2V2_MOUSE,Ubiquitin-conjugating enzyme E2 variant 2 OS=Mus musculus OX=10090 ,Ube2v2,7842800,6147270,7920110,6833040,,6867780,,8543150,7126720,7752950,8229390,,5360620,6651580,6952930,6309400,5517740,4272770
O08759,UBE3A_MOUSE,Ubiquitin-protein ligase E3A OS=Mus musculus OX=10090 ,Ube3a,2883860,2857680,4230540,3160630,3020240,2630210,3344960,3295080,2609250,3327050,3540700,2737050,2548950,2571710,2391170,2587410,3003680,2918310
Q9ES34,UBE3B_MOUSE,Ubiquitin-protein ligase E3B OS=Mus musculus OX=10090 ,Ube3b,2128380,1065680,2317320,2212630,1825550,1536090,1556420,1631750,1043050,2475980,1900340,1517140,1829270,1746750,1787340,1798640,1724510,1684590
Q80U95,UBE3C_MOUSE,Ubiquitin-protein ligase E3C OS=Mus musculus OX=10090 ,Ube3c,6700710,5502620,1551680,5517940,5534560,5415920,5069020,5351160,3093010,3287550,6964270,4890550,6266410,4533760,6019860,2825220,6071900,6436080
E9Q735,UBE4A_MOUSE,Ubiquitin conjugation factor E4 A OS=Mus musculus OX=10090 ,Ube4a,1379830,2550930,4708480,2739460,2600950,3423980,2815490,2508220,1890930,823339,3266890,2491850,2624170,2241110,2472010,1486360,2647310,3048860
Q9ES00,UBE4B_MOUSE,Ubiquitin conjugation factor E4 B OS=Mus musculus OX=10090 ,Ube4b,,1846720,,1923300,,2490530,3163490,2178000,899395,,2301460,,2238610,2021330,2225000,,,2464490
Q78JW9,UBFD1_MOUSE,Ubiquitin domain-containing protein UBFD1 OS=Mus musculus OX=10090 ,Ubfd1,2300300,764846,3577630,3867510,3633360,3212850,4089870,4061140,3086570,3387860,3203590,3093690,3103690,3067550,,3287620,1915290,5981220
