Accession,Protein Name,Description,Gene Name,XIC S03,XIC S03bis,XIC S04,XIC S05,XIC S06,XIC S06bis,XIC S07,XIC S07bis,XIC S08,XIC S09,XIC S10,XIC S11,XIC S11bis,XIC S12,XIC S12bis,XIC S13,XIC S14,XIC S15
P62484,ABI2_MOUSE,Abl interactor 2 OS=Mus musculus OX=10090 ,Abi2,956352,1185610,,2207110,2364720,3310360,2661480,2859840,1271190,,3013040,3007010,2278290,2522800,3257730,3130620,1461920,2522890
A0A338P6S8,A0A338P6S8_MOUSE,ABI family member 3 binding protein OS=Mus musculus OX=10090 ,Abi3bp,13991900,15111900,16471300,15928500,15813700,16831700,13596200,16149400,19552800,19311900,18228400,17206100,18171300,18467100,18258300,19227200,19029000,17275300
Q4JIM5,ABL2_MOUSE,Tyrosine-protein kinase ABL2 OS=Mus musculus OX=10090 ,Abl2,258202,331077,281119,306191,,329615,,318360,,280371,394466,381595,418808,299115,295815,256386,406298,353520
Q8K4G5,ABLM1_MOUSE,Actin-binding LIM protein 1 OS=Mus musculus OX=10090 ,Ablim1,17141800,20885100,16993900,17388400,20989500,20973400,18446700,18990500,17174800,16208600,21230900,19987100,21157800,19803500,20084100,17416800,18711300,21953100
Q8BL65,ABLM2_MOUSE,Actin-binding LIM protein 2 OS=Mus musculus OX=10090 ,Ablim2,6901840,8826570,6797230,7193400,7506320,7638250,7867770,7504220,6867110,5461070,8131610,7568410,8884080,6586010,6164400,8021600,6274240,9768140
Q5SSL4,ABR_MOUSE,Active breakpoint cluster region-related protein OS=Mus musculus OX=10090 ,Abr,4423080,4647690,4107140,4064140,4480000,4960300,3205890,4305790,4021460,4533290,4203910,4454820,4703440,5140190,4448850,4067750,4607010,4911900
Q4KML4,ABRAL_MOUSE,Costars family protein ABRACL OS=Mus musculus OX=10090 ,Abracl,1684900,3658040,2860330,3702170,,1886200,2677350,2912400,3975480,5833840,2724570,2328670,1948890,3132550,2979310,4146480,2593030,3624040
Q921H8,THIKA_MOUSE,"3-ketoacyl-CoA thiolase A, peroxisomal OS=Mus musculus OX=10090 ",Acaa1a,,,,2194870,3285490,2636970,4694960,2759050,,,2935140,2166790,1234340,3159490,3130310,,2409880,2648930
Q8BWT1,THIM_MOUSE,"3-ketoacyl-CoA thiolase, mitochondrial OS=Mus musculus OX=10090 ",Acaa2,27046000,56606400,55851000,51299200,39001100,35616800,69666400,80793500,48150300,43477800,44538400,48141800,52738300,51335900,48967700,76306800,45576900,47774700
Q5SWU9,ACACA_MOUSE,Acetyl-CoA carboxylase 1 OS=Mus musculus OX=10090 ,Acaca,20364800,20588400,17810500,9191380,10668200,11984000,16666100,17671900,15000900,18164800,9433960,16109200,16444100,23916100,23582200,10043400,12709100,8555040
E9Q4Z2,ACACB_MOUSE,Acetyl-CoA carboxylase 2 OS=Mus musculus OX=10090 ,Acacb,,103293,,,,,933836,807390,183404,,82133,301143,392377,640056,543349,152139,258137,100875
Q80XL6,ACD11_MOUSE,Acyl-CoA dehydrogenase family member 11 OS=Mus musculus OX=10090 ,Acad11,705348,355405,745720,919868,,786581,578833,442046,,381266,697063,566920,339529,,880811,,1246650,
D3Z7X0,D3Z7X0_MOUSE,"Acyl-Coenzyme A dehydrogenase family, member 12 OS=Mus musculus OX=10090 ",Acad12,1169280,971173,,,853178,,2352220,1854680,745022,,,787565,,1185960,,,946182,
Q9D7B6,ACAD8_MOUSE,"Isobutyryl-CoA dehydrogenase, mitochondrial OS=Mus musculus OX=10090 ",Acad8,375650,481334,363781,,,1352000,3159340,1254830,,,,945469,,,1118810,,,1098710
Q8JZN5,ACAD9_MOUSE,"Complex I assembly factor ACAD9, mitochondrial OS=Mus musculus OX=10090 ",Acad9,8227530,9447570,6150000,7115800,9150160,8957640,11730900,11056000,7633750,5834750,8322010,9512050,8444960,9407660,8304270,6790510,7346800,8505520
P51174,ACADL_MOUSE,"Long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus OX=10090 ",Acadl,57704400,57859500,56088500,57592300,63984700,60720300,108607000,110327000,54114800,45513600,52246000,63796400,66056100,69730000,69444200,47744100,56049500,55081600
P45952,ACADM_MOUSE,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus OX=10090 ",Acadm,31986600,29431400,24556500,31556500,28945200,24825000,58035600,54750800,33399700,28955400,24785800,33782200,30667100,37921200,39021000,30828600,36101600,24746600
Q07417,ACADS_MOUSE,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus OX=10090 ",Acads,13658900,13207400,15448400,12159500,11792500,11840300,21595600,24216600,15373100,15220400,11158900,13293600,13053000,14045900,13517500,12135100,13696300,9847300
Q9DBL1,ACDSB_MOUSE,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus OX=10090 ",Acadsb,5613340,5455370,4672700,3799730,3994780,4060730,8187030,6911840,5679420,6101220,3838270,5284500,5512050,5653060,5813950,5356570,5786460,3936040
P50544,ACADV_MOUSE,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus OX=10090 ",Acadvl,9234300,9864740,7626920,8741820,10126700,9214130,32272000,30529500,9177880,9060510,7906510,11410600,10417500,12169500,11614700,8544870,10427800,8740220
Q6ZQK5,ACAP2_MOUSE,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 OS=Mus musculus OX=10090 ",Acap2,1571300,1503000,1668720,1836520,2073730,1604880,1468970,1543970,895907,1941530,1532760,1321240,1259430,1482840,1732460,1160880,1912610,813709
Q8QZT1,THIL_MOUSE,"Acetyl-CoA acetyltransferase, mitochondrial OS=Mus musculus OX=10090 ",Acat1,57207100,55000900,53064100,51784200,48336300,51163100,76540400,71516700,57392900,45848200,45233300,55678400,51519800,57357900,51517200,49224900,49070900,50075800
Q8CAY6,THIC_MOUSE,"Acetyl-CoA acetyltransferase, cytosolic OS=Mus musculus OX=10090 ",Acat2,949499,798362,1173080,906510,6993500,813345,705922,717503,878282,1001150,841682,3927030,699480,647871,782252,780836,690118,939797
Q8BMP6,GCP60_MOUSE,Golgi resident protein GCP60 OS=Mus musculus OX=10090 ,Acbd3,784057,810944,1077900,1293010,831976,920968,744723,995178,825463,1000160,823902,947073,731349,972716,1134560,923232,980638,1038540
Q9D061,ACBD6_MOUSE,Acyl-CoA-binding domain-containing protein 6 OS=Mus musculus OX=10090 ,Acbd6,433120,1008120,920975,1000800,788616,1173590,747270,1069760,,1547560,1286900,1040100,1134900,1223230,1172720,1001760,906022,1137210
P09470,ACE_MOUSE,Angiotensin-converting enzyme OS=Mus musculus OX=10090 ,Ace,4845420,7630160,10764000,8820050,5613260,7702110,6750350,8508540,14252200,14528400,7111340,5956970,5842920,9390650,9449480,11962600,10195600,6190730
Q8R0I0,ACE2_MOUSE,Angiotensin-converting enzyme 2 OS=Mus musculus OX=10090 ,Ace2,,,407371,,,,,,,312794,,,,,502498,,,
Q9JIX8,ACINU_MOUSE,Apoptotic chromatin condensation inducer in the nucleus OS=Mus musculus OX=10090 ,Acin1,2105240,935751,2507440,,,1728510,1575510,1341190,1525820,2177050,1974670,1619470,1959730,2138080,2593280,1025300,1761120,1032240
Q91V92,ACLY_MOUSE,ATP-citrate synthase OS=Mus musculus OX=10090 ,Acly,116164000,76791300,92864800,78730800,81702400,73407900,93800400,78584500,78761000,78337900,68858100,95496200,83017500,95313800,77690400,82445100,71238500,95037300
P28271,ACOHC_MOUSE,Cytoplasmic aconitate hydratase OS=Mus musculus OX=10090 ,Aco1,5016430,7171420,7162780,8562390,7099960,8717650,8709500,7945410,7110700,4586580,7938200,8090790,7539800,9415660,7628490,6332910,8739210,7452560
Q99KI0,ACON_MOUSE,"Aconitate hydratase, mitochondrial OS=Mus musculus OX=10090 ",Aco2,79017700,71332900,74709900,77189600,76630300,75176100,193154000,214809000,65548500,58253700,64672000,71272500,70962200,73683800,76292400,66615100,79573400,61270600
O55137,ACOT1_MOUSE,Acyl-coenzyme A thioesterase 1 OS=Mus musculus OX=10090 ,Acot1,,,,,,,,,,,,,,820753,278279,12588100,1571690,408483
Q8VHQ9,ACO11_MOUSE,Acyl-coenzyme A thioesterase 11 OS=Mus musculus OX=10090 ,Acot11,,970752,,1617170,1943830,,,,1768370,,1123560,,1700790,1203050,1219370,,893895,2128350
Q9CQR4,ACO13_MOUSE,Acyl-coenzyme A thioesterase 13 OS=Mus musculus OX=10090 ,Acot13,5748750,,8807330,8736060,8149960,11209600,18501800,22737900,8543210,13995800,9718040,7933280,10083200,8228300,10267500,14702400,9187900,8011370
Q9QYR9,ACOT2_MOUSE,"Acyl-coenzyme A thioesterase 2, mitochondrial OS=Mus musculus OX=10090 ",Acot2,,6954920,,2641000,5762200,4590300,6857590,5543800,4710440,,4881970,3337170,2601630,4979980,9982140,6292900,,3804420
Q91V12,BACH_MOUSE,Cytosolic acyl coenzyme A thioester hydrolase OS=Mus musculus OX=10090 ,Acot7,42051800,107580000,47826500,139352000,134410000,119547000,127554000,145708000,72296100,39534300,112246000,108344000,123598000,128913000,140085000,109019000,123702000,135924000
Q9R0X4,ACOT9_MOUSE,"Acyl-coenzyme A thioesterase 9, mitochondrial OS=Mus musculus OX=10090 ",Acot9,6486260,7085850,2165090,6668940,6912270,6761980,5886440,6104920,6248200,4652190,5722330,6654610,6078010,5762890,7170940,6267540,7025610,5703620
Q9R0H0,ACOX1_MOUSE,Peroxisomal acyl-coenzyme A oxidase 1 OS=Mus musculus OX=10090 ,Acox1,4354570,5440970,2158820,5080440,4498780,4030360,4879310,5233800,5611870,2866160,4254310,4847530,5487700,4397060,5184870,5318650,5362400,3846690
Q9EPL9,ACOX3_MOUSE,Peroxisomal acyl-coenzyme A oxidase 3 OS=Mus musculus OX=10090 ,Acox3,1346340,1327610,1254640,1214460,1162790,917056,1611450,1322870,975015,1843590,1123910,1363170,1266110,1432840,1198830,754144,1312530,1314790
