Significant,-log10(p-value),Difference,Gene Name,Number Of Imputations,XIC S03,XIC S03bis,XIC S04,XIC S05,XIC S06,XIC S06bis,XIC S07,XIC S07bis,XIC S08,XIC S09,XIC S10,XIC S11,XIC S11bis,XIC S12,XIC S12bis,XIC S13,XIC S14,XIC S15
,0.06229756,-0.018573318,Sptb,0,1.153124809,1.161661148,0.793519974,1.040678024,1.099632263,1.051839828,1.176996231,1.183836937,0.730447769,0.841371536,1.046584129,1.051913261,0.972558975,1.011872292,0.983214378,0.963607788,1.009716034,0.874219894
,0.33304872,0.108944041,Sptbn1,0,4.959534645,5.138084412,4.692022324,4.99943161,5.367988586,5.256299973,4.932783127,4.915625572,4.860626221,4.756565094,5.30359745,5.491957664,5.338495255,5.334893227,5.142046928,4.777626038,4.942926407,5.317354202
,0.202139114,-0.081072024,Sptbn2,0,1.067997932,1.232919693,0.866090775,0.800905228,1.149486542,1.101173401,0.726625443,0.621907234,0.739124298,0.688619614,1.34940815,1.154747963,1.278362274,0.847403526,0.898474693,0.769142151,0.923757553,1.316856384
,0.541588119,-0.442098311,Sptbn4,1,-1.24545002,-1.486743927,-2.453077316,-1.89402771,-1.82011795,-1.712621689,-3.65940094,-1.990456581,-2.315158844,-2.064527512,-1.921177864,-0.297472954,-1.896699905,-2.989900827,-1.892098427,-2.238271713,-2.389724731,-1.72895813
,0.062754136,-0.05242031,Sptbn5,0,0.055989265,0.612745285,0.719133377,0.987182617,0.87877655,0.768800735,0.048427582,0.565695763,-0.028747559,0.159860611,1.396582603,1.123589516,0.921678543,0.850775719,1.103640556,-0.280355453,0.41330719,1.292478561
,0.202774584,-0.238374412,Sptlc2,7,-3.352948427,-2.681564331,-3.01521492,-2.507879257,-5.027267933,-2.761444092,-3.131282806,-2.520555496,-3.173703671,-2.89863205,-2.381546974,-2.939929962,-2.718276978,-1.468146801,-2.791169167,-2.417876005,-3.319910049,-2.924108505
,1.088915387,-0.114255054,Sqor,0,2.617445946,2.848245621,2.539180756,2.68038559,2.602022171,2.608961105,2.438936234,2.531662941,2.630802155,2.564559937,2.522471428,2.465460777,2.725021362,2.774600029,2.976212502,2.401979446,2.652805328,2.436830521
,1.011440258,1.353577128,Sqstm1,2,-4.565873146,-0.720581055,-3.761224031,-1.225763321,-1.290307999,-1.143087387,-1.235773087,-0.637215614,-1.327787399,-2.204071045,-0.665240288,-0.900185585,-0.907745361,-1.586411476,-1.019654274,-0.949459076,-1.137868881,-0.674375534
,0.31977713,-0.353997707,Src,1,-1.269398689,-1.115217209,-1.619762421,-1.027900696,-1.244087219,-1.173049927,-1.028287888,-3.640363455,-1.662939072,-1.397155762,-1.138588905,-1.14195919,-1.643262863,-1.302735329,-0.978722572,-1.68834877,-1.350572586,-1.126516342
,0.460822167,0.764752337,Srgap2,2,-3.138780117,-0.7664814,-1.60692215,-0.983049393,-1.043212891,0.134561539,-0.569742203,-0.434306145,-0.308404922,-3.681249619,-0.111037254,-1.343541145,0.171867371,-1.11993885,-0.030108452,-1.66462326,-0.34768486,-0.432693481
,0.366901836,-0.636735439,Srgap3,1,0.540688515,0.751607895,0.670993805,0.801130295,0.621292114,0.89173317,-3.310969114,0.144488335,0.575880051,0.773874283,0.684288979,0.453835487,-0.028455734,-0.49361515,0.509995461,0.797708511,0.470582962,0.435506821
,0.967025632,1.017662559,Sri,0,0.156229973,-1.615318298,-0.184846878,1.267591476,1.646997452,1.707437515,0.924755096,0.934102058,-0.04637146,-0.049541473,1.347657204,1.186833382,1.374889374,1.462798119,1.616101265,0.894662857,1.298027039,1.398048401
,0.149020997,0.073169265,Srm,0,1.047036171,1.904251099,1.400661469,1.836156845,1.838653564,1.779666901,1.543432236,1.688956261,1.663398743,1.11693573,1.710326195,1.643200874,1.606523514,1.820971489,1.830550194,1.854097366,1.560537338,1.86406517
,0.481742305,-0.126696689,Srp68,0,-1.251023293,-1.199440002,-1.226745605,-1.091558456,-1.286685944,-1.14809227,-1.676105499,-1.165194511,-1.620111465,-1.084457397,-1.251572609,-1.473700523,-1.109498978,-1.183308601,-1.425471306,-1.58039856,-1.839092255,-1.274032593
,0.783228059,0.604889214,Srp72,1,-3.371516466,-0.995859146,-2.326416016,-1.268795013,-1.467615128,-1.158403397,-1.353141785,-1.44507122,-1.349739075,-1.633831024,-1.292500496,-1.574221611,-1.187988281,-1.48660183,-1.070752144,-1.399049759,-2.030990601,-1.457019806
